date,product
2016-09-27,空仓
2016-09-28,sh511010
2016-09-29,sh511010
2016-09-30,sh511010
2016-10-10,sz159915
2016-10-11,sz159915
2016-10-12,sz159915
2016-10-13,sz159915
2016-10-14,sh511010
2016-10-17,sh511010
2016-10-18,sh511010
2016-10-19,sh511010
2016-10-20,sz159915
2016-10-21,sh511010
2016-10-24,sh510050
2016-10-25,sh510050
2016-10-26,sh510050
2016-10-27,sh510050
2016-10-28,sh510050
2016-10-31,sh510050
2016-11-01,sh510050
2016-11-02,sh510050
2016-11-03,sh510050
2016-11-04,sh510050
2016-11-07,sh510050
2016-11-08,sh510050
2016-11-09,sh510050
2016-11-10,sh510050
2016-11-11,sh510050
2016-11-14,sh510050
2016-11-15,sh510050
2016-11-16,sh510050
2016-11-17,sh510050
2016-11-18,sh510050
2016-11-21,sh510050
2016-11-22,sh510050
2016-11-23,sh510050
2016-11-24,sh510050
2016-11-25,sh510050
2016-11-28,sh510050
2016-11-29,sh510050
2016-11-30,sh510050
2016-12-01,sh510050
2016-12-02,sh510050
2016-12-05,sh510050
2016-12-06,sh510050
2016-12-07,sh510050
2016-12-08,sh510050
2016-12-09,sh510050
2016-12-12,sh510050
2016-12-13,sh510050
2016-12-14,sh510050
2016-12-15,空仓
2016-12-16,空仓
2016-12-19,空仓
2016-12-20,空仓
2016-12-21,空仓
2016-12-22,空仓
2016-12-23,空仓
2016-12-26,空仓
2016-12-27,空仓
2016-12-28,空仓
2016-12-29,空仓
2016-12-30,空仓
2017-01-03,空仓
2017-01-04,空仓
2017-01-05,空仓
2017-01-06,空仓
2017-01-09,空仓
2017-01-10,空仓
2017-01-11,空仓
2017-01-12,空仓
2017-01-13,空仓
2017-01-16,空仓
2017-01-17,空仓
2017-01-18,空仓
2017-01-19,空仓
2017-01-20,sh511010
2017-01-23,sh511010
2017-01-24,sh511010
2017-01-25,sh510050
2017-01-26,sh510050
2017-02-03,sh510050
2017-02-06,sh510050
2017-02-07,sh510050
2017-02-08,sh510050
2017-02-09,sh510050
2017-02-10,sh510050
2017-02-13,sh510050
2017-02-14,sh510050
2017-02-15,sh510050
2017-02-16,sh510050
2017-02-17,sh510050
2017-02-20,sh510050
2017-02-21,sh510050
2017-02-22,sh510050
2017-02-23,sh510050
2017-02-24,sh510050
2017-02-27,sh510050
2017-02-28,sh510050
2017-03-01,sz159915
2017-03-02,sz159915
2017-03-03,sz159915
2017-03-06,sz159915
2017-03-07,sz159915
2017-03-08,sz159915
2017-03-09,sz159915
2017-03-10,sz159915
2017-03-13,sz159915
2017-03-14,sz159915
2017-03-15,sz159915
2017-03-16,sz159915
2017-03-17,sz159915
2017-03-20,sz159915
2017-03-21,sz159915
2017-03-22,sz159915
2017-03-23,sz159915
2017-03-24,sz159915
2017-03-27,sz159915
2017-03-28,sz159915
2017-03-29,sz159915
2017-03-30,空仓
2017-03-31,空仓
2017-04-05,sz159915
2017-04-06,空仓
2017-04-07,sz159915
2017-04-10,sh510050
2017-04-11,sh510050
