信号日期,股票名称,股票数量,买入单价,买入总价,卖出单价,卖出总价,单次利润,单次利润率,当前资产,累计利润率
2015-08-12,sh511010,600.0,108.522,65119.71132,108.408,65038.29552000001,-81.41579999999522,-0.0012502481714010646,68042.38561000004,0.45012994188025746
2015-08-13,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67960.96981000004,0.45012994188025746
2015-08-27,sh511010,600.0,108.378,65033.30268,108.639,65176.88165999999,143.57897999999113,0.0022077762328399577,67960.96981000004,0.4523377181130974
2015-09-08,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68104.54879000003,0.4523377181130974
2015-09-09,sh511010,600.0,108.667,65206.72002,108.45,65063.493,-143.22701999999845,-0.0021965070464527014,68104.54879000003,0.45014121106664473
2015-09-10,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67961.32177000004,0.45014121106664473
2015-09-14,sh511010,600.0,108.389,65039.90333999999,108.305,64976.50170000001,-63.40163999998185,-0.0009748114118273821,67961.32177000004,0.44916639965481736
2015-09-22,sh510050,30300.0,2.237,67787.87811,2.174,65865.61278,-1922.2653300000093,-0.02835706594740629,67897.92013000006,0.4208093337074111
2015-09-28,sz159915,33300.0,1.979,65907.29007,2.454,81710.02818000001,15802.738110000006,0.23977223298387704,65975.65480000005,0.6605815666912881
2015-12-02,sh510050,33200.0,2.462,81746.57384000001,2.461,81697.02948,-49.54436000001442,-0.0006060726177587091,81778.39291000005,0.6599754940735294
2015-12-03,sz159915,31900.0,2.561,81704.06959,2.53,80698.9293,-1005.1402899999957,-0.01230220593715711,81728.84855000004,0.6476732881363723
2015-12-04,sh511010,700.0,108.616,76038.80312,108.704,76085.19071999998,46.38759999998729,0.0006100516854109485,80723.70826000004,0.6482833398217832
2015-12-15,sz159915,31300.0,2.577,80668.16601,2.593,81152.78391,484.61789999999746,0.006007548255651703,80770.09586000003,0.654290888077435
2015-12-16,sh511010,700.0,108.785,76157.11495,108.821,76167.08253,9.967579999996815,0.0001308817962253547,81254.71376000003,0.6544217698736603
2015-12-17,sz159915,30300.0,2.674,81030.30222,2.663,80680.83111,-349.4711099999986,-0.0043128447065540094,81264.68134000002,0.6501089251671063
2015-12-21,sh510050,32300.0,2.499,80725.77176999999,2.432,78545.74463999999,-2180.027130000002,-0.027005342683018643,80915.21023000003,0.6231035824840876
